="cut6",="0.397***",="0.338**",="0.275*",="0.260*",="0.335*",="0.421",="0.076",="0.115",="0.128"
="",="(0.102)",="(0.104)",="(0.109)",="(0.109)",="(0.135)",="(0.305)",="(0.467)",="(0.471)",="(0.559)"
="cut7",="1.018***",="0.964***",="0.901***",="0.889***",="0.965***",="1.050***",="0.708",="0.748",="0.761"
="",="(0.111)",="(0.113)",="(0.116)",="(0.116)",="(0.141)",="(0.306)",="(0.467)",="(0.471)",="(0.560)"
="cut8",="1.705***",="1.660***",="1.592***",="1.586***",="1.663***",="1.746***",="1.411**",="1.450**",="1.462*"
="",="(0.142)",="(0.144)",="(0.146)",="(0.146)",="(0.171)",="(0.328)",="(0.484)",="(0.489)",="(0.577)"
="N",="401",="401",="401",="401",="401",="401",="401",="401",="401"
="Log-lik",="-743.62",="-738.67",="-739.83",="-736.83",="-736.45",="-736.64",="-735.42",="-734.96",="-734.96"
="Pseudo R2",="0.0061",="0.0127",="0.0111",="0.0151",="0.0157",="0.0154",="0.0170",="0.0176",="0.0176"
="Wald chi2",="12.24",="21.75",="17.97",="24.19",="24.32",="24.29",="27.00",="28.23",="28.24"
="Prob > chi2",="0.0930",="0.0054",="0.0214",="0.0040",="0.0068",="0.0069",="0.0077",="0.0084",="0.0132"
="AIC",="1517.2",="1509.3",="1511.7",="1507.7",="1508.9",="1509.3",="1510.8",="1511.9",="1513.9"
="BIC",="1577.2",="1573.2",="1575.6",="1575.6",="1580.8",="1581.2",="1590.7",="1595.8",="1601.8"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
